,公司代號,公司名稱,實收資本額
414,2536,宏普建設股份有限公司,3328086520
415,2537,聯上開發股份有限公司,3005577950
416,2538,基泰建設股份有限公司,4384487640
417,2539,櫻花建設股份有限公司,5596090310
418,2540,愛山林建設開發股份有限公司,1466000000
419,2542,興富發建設股份有限公司,12909636170
420,2543,皇昌營造股份有限公司,2419837880
421,2545,皇翔建設股份有限公司,3277348080
422,2546,根基營造股份有限公司,1060356600
423,2547,日勝生活科技股份有限公司,9000946490
424,2548,華固建設股份有限公司,2768127260
425,2597,潤弘精密工程事業股份有限公司,1350000000
426,2601,益航股份有限公司,7459680080
427,2603,長榮海運股份有限公司,52709359710
428,2605,新興航運股份有限公司,5853532970
429,2606,裕民航運股份有限公司,8450557120
430,2607,長榮國際儲運股份有限公司,10671410940
431,2608,嘉里大榮物流股份有限公司,4670004980
432,2609,陽明海運股份有限公司,33321042700
433,2610,中華航空股份有限公司,54209925860
434,2611,志信國際股份有限公司,1718202470
435,2612,中國航運股份有限公司,1974845930
436,2613,中國貨櫃運輸股份有限公司,1484234580
437,2614,東森國際股份有限公司,5567898890
438,2615,萬海航運股份有限公司,22182974660
439,2616,山隆通運股份有限公司,1372818270
440,2617,台灣航業股份有限公司,4172944870
441,2618,長榮航空股份有限公司,50302208750
442,2630,亞洲航空股份有限公司,1311710400
443,2633,台灣高速鐵路股份有限公司,56282930580
444,2634,漢翔航空工業股份有限公司,9418671010
445,2636,台驊國際投資控股股份有限公司,1272358820
446,2637,慧洋海運股份有限公司,7464091990
447,2642,台灣宅配通股份有限公司,954670000
448,2701,萬華企業股份有限公司,4499678380
449,2702,華園飯店股份有限公司,1104855380
450,2704,國賓大飯店股份有限公司,3669233430
451,2705,六福開發股份有限公司,1913128300
452,2706,第一華僑大飯店股份有限公司,4999983460
453,2707,晶華國際酒店股份有限公司,1274019720
454,2712,遠雄悅來大飯店股份有限公司,1050000000
455,2722,夏都國際開發股份有限公司,1115229610
456,2723,開曼美食達人股份有限公司,1800000000
457,2727,王品餐飲股份有限公司,769878830
458,2731,雄獅旅行社股份有限公司,722124270
459,2739,寒舍餐旅管理顧問股份有限公司,1115260000
460,2748,雲品國際酒店股份有限公司,754825500
461,2801,彰化商業銀行股份有限公司,103847236060
462,2809,京城商業銀行股份有限公司,11212342650
463,2812,台中商業銀行股份有限公司,41516943130
464,2816,旺旺友聯產物保險股份有限公司,2236080000
465,2820,中華票券金融股份有限公司,13429600000
466,2823,中國人壽保險股份有限公司,47313972420
467,2832,台灣產物保險股份有限公司,3622004000
468,2834,臺灣中小企業銀行股份有限公司,74885834570
469,2836,高雄銀行股份有限公司,11695577270
470,2838,聯邦商業銀行股份有限公司,32933688060
471,2841,台灣土地開發股份有限公司,7609436000
472,2845,遠東國際商業銀行股份有限公司,34481044410
473,2849,安泰商業銀行股份有限公司,19579100500
474,2850,新光產物保險股份有限公司,3159633000
475,2851,中央再保險股份有限公司,5903887500
476,2852,第一產物保險股份有限公司,3011637840
477,2855,統一綜合證券股份有限公司,13998378290
478,2867,三商美邦人壽保險股份有限公司,25019714710
479,2880,華南金融控股股份有限公司,128547788100
480,2881,富邦金融控股股份有限公司,115002639950
481,2882,國泰金融控股股份有限公司,147025101280
482,2883,中華開發金融控股股份有限公司,149736024240
483,2884,玉山金融控股股份有限公司,125671000000
484,2885,元大金融控股股份有限公司,121374359140
485,2886,兆豐金融控股股份有限公司,135998239830
486,2887,台新金融控股股份有限公司,117136171700
487,2888,新光金融控股股份有限公司,133173940630
488,2889,國票金融控股股份有限公司,28964816950
489,2890,永豐金融控股股份有限公司,112810541060
490,2891,中國信託金融控股股份有限公司,199969795690
491,2892,第一金融控股股份有限公司,128358010780
492,2897,王道商業銀行股份有限公司,30330063010
493,2901,欣欣大眾市場股份有限公司,730432830
494,2903,遠東百貨股份有限公司,14169405890
495,2904,匯僑股份有限公司,690344320
496,2905,三商投資控股股份有限公司,9093509560
497,2906,高林實業股份有限公司,2091110930
498,2908,特力股份有限公司,5098875580
499,2910,統領百貨股份有限公司,2087250000
500,2911,麗嬰房股份有限公司,1846777750
501,2912,統一超商股份有限公司,10396222550
502,2913,台灣農林股份有限公司,7900000000
503,2915,潤泰全球股份有限公司,5648605940
504,2923,鼎固控股有限公司,17402969820
505,2929,淘帝國際控股有限公司,1094938380
506,2936,客思達股份有限公司,760556960
507,2939,凱羿國際集團股份有限公司,455486650
508,3002,歐格電子工業股份有限公司,1020000000
509,3003,健和興端子股份有限公司,1556548900
510,3004,豐達科技股份有限公司(原宏達),526471550
511,3005,神基科技股份有限公司,5920989000
512,3006,晶豪科技股份有限公司,2860998960
513,3008,大立光電股份有限公司,1341401970
514,3010,華立企業股份有限公司,2313901380
515,3011,今皓實業股份有限公司,1127192510
516,3013,晟銘電子科技股份有限公司,1559350180
517,3014,聯陽半導體股份有限公司,1610801240
518,3015,全漢企業股份有限公司,1872619500
519,3016,嘉晶電子股份有限公司,2800687900
520,3017,奇鋐科技股份有限公司,3533101570
521,3018,同開科技工程股份有限公司,731471320
522,3019,亞洲光學股份有限公司,2810839010
523,3021,鴻名企業股份有限公司,940000000
524,3022,威強電工業電腦股份有限公司,1765977900
525,3023,信邦電子股份有限公司,2329370720
526,3024,憶聲電子股份有限公司,2771574960
527,3025,星通資訊股份有限公司,709205500
